ΔT,D,Compound,Method,Source,SourceFigure
32.56939999999997,59.1715976331361,AS-water,HTDMA,Cheng et al. (2015),Figure 5
48.00310000000002,39.52569169960474,AS-water,HTDMA,Cheng et al. (2015),Figure 5
93.49029999999999,19.646365422396855,AS-water,HTDMA,Cheng et al. (2015),Figure 5
176.0625,9.920634920634921,AS-water,HTDMA,Cheng et al. (2015),Figure 5
216.1273,7.923930269413629,AS-water,HTDMA,Cheng et al. (2015),Figure 5
287.8736,5.9453032104637344,AS-water,HTDMA,Cheng et al. (2015),Figure 5
62.93290000000002,52.91005291005291,NaCl-water,HTDMA,Cheng et al. (2015),Figure 5
85.14420000000001,35.97122302158274,NaCl-water,HTDMA,Cheng et al. (2015),Figure 5
103.56,27.397260273972606,NaCl-water,HTDMA,Cheng et al. (2015),Figure 5
135.7779,18.01801801801802,NaCl-water,HTDMA,Cheng et al. (2015),Figure 5
163.6585,13.513513513513514,NaCl-water,HTDMA,Cheng et al. (2015),Figure 5
212.0996,9.025270758122744,NaCl-water,HTDMA,Cheng et al. (2015),Figure 5
244.29449999999997,7.209805335255949,NaCl-water,HTDMA,Cheng et al. (2015),Figure 5
301.635,5.14668039114771,NaCl-water,HTDMA,Cheng et al. (2015),Figure 5
7.917,85.1063829787234,Naphthalene,calorimetry,Jackson and McKenna (1990),Figure 4
14.05,39.49447077409163,Naphthalene,calorimetry,Jackson and McKenna (1990),Figure 4
101.49255999999997,5.750431282346176,Pyrene,MD simulation,Chen et al. (2013),Figure 5
111.80304999999998,5.065856129685917,Pyrene,MD simulation,Chen et al. (2013),Figure 5
141.41919000000001,3.992015968063872,Pyrene,MD simulation,Chen et al. (2013),Figure 5
172.22337000000002,3.1756113051762465,Pyrene,MD simulation,Chen et al. (2013),Figure 5
151.55996,3.7188545927854224,Pyrene,MD simulation,Chen et al. (2013),Figure 5
121.72577999999999,7.4074074074074066,Coronene,MD simulation,Chen et al. (2013),Figure 5
186.24825999999996,5.6850483229107445,Coronene,MD simulation,Chen et al. (2013),Figure 5
210.47972000000004,4.476275738585497,Coronene,MD simulation,Chen et al. (2013),Figure 5
230.5897,4.152823920265781,Coronene,MD simulation,Chen et al. (2013),Figure 5
255.31858,3.549875754348598,Coronene,MD simulation,Chen et al. (2013),Figure 5
190.53570000000002,6.0515799999999995,Lead,dark-field EM,David et al. (1995),Figure 2
162.9042,9.29844,Lead,dark-field EM,David et al. (1995),Figure 2
154.2527,10.22836,Lead,dark-field EM,David et al. (1995),Figure 2
143.6612,9.80786,Lead,dark-field EM,David et al. (1995),Figure 2
141.9674,12.20242,Lead,dark-field EM,David et al. (1995),Figure 2
136.6956,9.24736,Lead,dark-field EM,David et al. (1995),Figure 2
132.4918,11.71398,Lead,dark-field EM,David et al. (1995),Figure 2
135.01420000000002,10.22112,Lead,dark-field EM,David et al. (1995),Figure 2
126.62790000000001,12.700199999999999,Lead,dark-field EM,David et al. (1995),Figure 2
128.8788,10.368559999999999,Lead,dark-field EM,David et al. (1995),Figure 2
124.964,11.671859999999999,Lead,dark-field EM,David et al. (1995),Figure 2
110.16640000000001,13.976320000000001,Lead,dark-field EM,David et al. (1995),Figure 2
95.3981,12.92244,Lead,dark-field EM,David et al. (1995),Figure 2
89.25830000000002,13.58654,Lead,dark-field EM,David et al. (1995),Figure 2
89.53320000000002,14.03782,Lead,dark-field EM,David et al. (1995),Figure 2
69.44470000000001,15.58306,Lead,dark-field EM,David et al. (1995),Figure 2
57.177400000000034,15.490459999999999,Lead,dark-field EM,David et al. (1995),Figure 2
39.591499999999996,17.80322,Lead,dark-field EM,David et al. (1995),Figure 2
38.746599999999944,18.774459999999998,Lead,dark-field EM,David et al. (1995),Figure 2
30.647100000000023,20.34854,Lead,dark-field EM,David et al. (1995),Figure 2
26.99260000000004,23.782239999999998,Lead,dark-field EM,David et al. (1995),Figure 2
28.342200000000048,28.88014,Lead,dark-field EM,David et al. (1995),Figure 2
21.116300000000024,26.18926,Lead,dark-field EM,David et al. (1995),Figure 2
23.91579999999999,24.8893,Lead,dark-field EM,David et al. (1995),Figure 2
15.801699999999983,28.142540000000004,Lead,dark-field EM,David et al. (1995),Figure 2
21.098899999999958,28.191340000000004,Lead,dark-field EM,David et al. (1995),Figure 2
21.059999999999945,32.64756,Lead,dark-field EM,David et al. (1995),Figure 2
16.0462,32.08128,Lead,dark-field EM,David et al. (1995),Figure 2
19.639499999999998,35.68712,Lead,dark-field EM,David et al. (1995),Figure 2
18.23180000000002,37.24126,Lead,dark-field EM,David et al. (1995),Figure 2
18.216699999999946,38.985,Lead,dark-field EM,David et al. (1995),Figure 2
17.075500000000034,41.959140000000005,Lead,dark-field EM,David et al. (1995),Figure 2
10.302000000000021,51.3436,Lead,dark-field EM,David et al. (1995),Figure 2
7.211800000000039,54.00064,Lead,dark-field EM,David et al. (1995),Figure 2
4.946800000000053,57.946839999999995,Lead,dark-field EM,David et al. (1995),Figure 2
4.658400000000029,59.045579999999994,Lead,dark-field EM,David et al. (1995),Figure 2
8.003299999999967,59.16477999999999,Lead,dark-field EM,David et al. (1995),Figure 2
9.105099999999993,60.71144,Lead,dark-field EM,David et al. (1995),Figure 2
7.686699999999973,63.49266,Lead,dark-field EM,David et al. (1995),Figure 2
8.508600000000001,65.16932,Lead,dark-field EM,David et al. (1995),Figure 2
7.350500000000011,70.08096,Lead,dark-field EM,David et al. (1995),Figure 2
7.339200000000005,71.37262,Lead,dark-field EM,David et al. (1995),Figure 2
5.35310000000004,75.31798,Lead,dark-field EM,David et al. (1995),Figure 2
6.97709999999995,80.9317,Lead,dark-field EM,David et al. (1995),Figure 2
13.634699999999953,84.85132,Lead,dark-field EM,David et al. (1995),Figure 2
5.441199999999981,97.21076000000001,Lead,dark-field EM,David et al. (1995),Figure 2
89.52959999999996,9.8322,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
83.21699999999998,10.4504,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
76.75049999999999,12.7378,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
72.90139999999997,12.98,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
83.06309999999996,10.9636,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
71.8236,10.6634,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
66.89679999999998,12.6996,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
60.8922,13.1906,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
53.96379999999999,13.4208,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
45.80359999999996,14.1602,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
43.95609999999999,15.3094,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
39.952999999999975,16.1932,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
35.94989999999996,15.6638,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
29.79129999999998,16.7964,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
27.94369999999998,19.7438,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
24.094599999999957,21.014,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
23.940699999999993,23.7112,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
25.326300000000003,18.1924,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
20.399599999999964,20.3574,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
