RH,viscosity,minv,maxv,source
70.155,757.5785,382.4085,2226.5627,Renbaum-Wolff et al. (2013)
71.0513,471.8227,251.0251,1350.6377,Renbaum-Wolff et al. (2013)
75.0511,237.9149,116.9775,681.0687,Renbaum-Wolff et al. (2013)
78.9673,83.0241,41.9078,237.6697,Renbaum-Wolff et al. (2013)
79.9458,57.4412,32.2107,168.8117,Renbaum-Wolff et al. (2013)
83.0481,36.7064,16.6792,94.5896,Renbaum-Wolff et al. (2013)
87.1291,16.6609,8.1918,45.2521,Renbaum-Wolff et al. (2013)
25.0,100000000000000.0,400000000.0,100000000000000.0,Renbaum-Wolff et al. (2013)
29.0,100000000000000.0,400000000.0,100000000000000.0,Renbaum-Wolff et al. (2013)
30.0,100000000000000.0,400000000.0,100000000000000.0,Renbaum-Wolff et al. (2013)
89.9835,6.1297,2.9356,17.5469,Renbaum-Wolff et al. (2013)
25.0,100000000000000.0,400000000.0,100000000000000.0,Renbaum-Wolff et al. (2013)
2.8134,111850000,12612000,782820000,Abramson et al. (2013)
87.4843,4507.7285,8.4099,9168.4461,Kidd et al. (2014)
10.2011,106710000000,12033000000,997320000000,Pajunoja et al. (2014)
3.1431,199440000,11966000,8793600000,Zhang et al. (2015)
5.5903,95452000,8061700,1912300000,Zhang et al. (2015)
5.9197,157290000,11050000,7909700000,Zhang et al. (2015)
7.1474,245870000,21317000,12044000000,Zhang et al. (2015)
3.955,73414000,6364500,1768000000,Zhang et al. (2015)
10.0056,188880000,15536000,8328000000,Zhang et al. (2015)
13.0224,57806000,6184800,1286600000,Zhang et al. (2015)
15.1491,95213000,6346300,2417000000,Zhang et al. (2015)
16.0508,169750000,17691000,7888800000,Zhang et al. (2015)
16.2107,87966000,8698300,4308900000,Zhang et al. (2015)
20.1277,35010000,4272300,912410000,Zhang et al. (2015)
21.0262,33209000,3371100,912410000,Zhang et al. (2015)
28.1355,44264000,2655700,886800000,Zhang et al. (2015)
34.9931,16268000,1695300,628930000,Zhang et al. (2015)
38.1804,20060000,1983600,371450000,Zhang et al. (2015)
44.3856,9100000,923800,197290000,Zhang et al. (2015)
44.7929,7181600,768450,187170000,Zhang et al. (2015)
52.4724,6800000,727570,196870000,Zhang et al. (2015)
52.5516,4236000,430010,136240000,Zhang et al. (2015)
58.2746,9308400,1022500,236310000,Zhang et al. (2015)
1.0094,30852000,17762000,57989000,Grayson et al. (2016)
0.9885,497120,335100,1461000,Grayson et al. (2016)
29.9002,70491.277,4576.7128,129060,Grayson et al. (2016)
29.8104,14176.5779,3427.2944,207180,Grayson et al. (2016)
49.4147,7119.2173,161.4487,31040.4519,Grayson et al. (2016)
39.7016,42662.9019,23302.7943,80190.2092,Grayson et al. (2016)
39.8586,12075.5935,1046.9799,80190.2092,Grayson et al. (2016)
0,1000000,400000,6000000,S. Petters et al. (2019)
