tgm,tgc
57.0125,61.7503
62.4287,60.6157
64.1391,78.5348
76.6819,75.4134
77.8221,84.2308
87.2292,76.557
84.6636,97.3178
84.0935,102.7213
95.2109,103.0121
102.0525,100.7406
103.7628,103.5857
90.3649,108.1288
96.9213,109.5546
91.5051,113.2489
90.6499,119.5055
96.9213,112.1143
123.7172,107.2945
115.4504,110.7027
106.6135,119.799
98.9167,122.3543
101.1973,131.4569
128.2782,118.6737
124.0023,114.9738
114.5952,120.9412
109.4641,124.6356
119.4413,126.0634
121.7218,129.1932
116.8757,130.6126
112.8848,127.7661
109.4641,129.7551
111.4595,132.8848
140.2509,116.6896
129.9886,124.0785
117.4458,139.4297
120.2965,134.5963
128.2782,140.0047
129.9886,136.3083
141.106,131.764
161.9156,104.4721
158.2098,116.9842
163.626,118.1249
167.3317,125.5218
158.2098,127.2231
169.3273,133.4865
151.9384,130.0637
147.6625,133.7586
139.1106,142.0018
145.382,143.9962
150.5131,142.0083
145.0969,138.0234
124.2873,150.2413
118.8712,157.3486
126.2828,155.6463
125.1425,157.921
131.984,153.6587
135.4048,148.2568
141.106,151.3886
148.5177,152.5304
158.4949,147.9855
169.3273,148.2761
122.577,173.8467
132.8392,160.7694
140.5359,168.4531
141.106,163.9028
147.3774,170.7323
147.0924,178.9801
152.5086,187.5156
152.5086,180.6897
166.1916,162.2106
159.065,157.0871
177.5941,157.0976
183.8655,151.4129
209.8062,163.0886
181.2999,171.3204
176.4538,166.1982
165.3364,169.036
167.6169,179.8451
174.4584,182.9775
180.7298,182.6966
161.0604,204.8698
181.87,191.7986
177.5941,188.0987
192.7024,184.1255
195.553,191.8063
196.4082,199.7704
206.9555,201.7673
188.4264,191.2335
184.1505,203.4607
182.7252,208.5795
177.5941,208.2921
165.6214,227.3411
179.8746,222.2297
180.7298,263.4703
202.3945,220.8205
202.9647,209.7286
189.8518,204.0329
195.268,204.8892
216.9327,219.1223
224.3444,217.9888
219.4983,227.0873
243.7286,229.9452
246.8643,232.7912
246.2942,238.4791
244.0137,243.5973
243.1585,255.8266
248.8597,268.0596
249.1448,256.9677
253.1357,261.805
254.2759,248.7226
257.9818,254.413
262.5428,249.0117
277.081,243.616
225.7697,276.0101
230.6157,275.7285
242.5884,284.8365
254.561,281.9992
296.4652,246.4713
267.959,252.9966
272.805,259.5408
264.253,258.6827
259.9771,264.0842
267.6739,270.0612
283.6374,257.8405
289.9088,262.6791
281.0718,268.6468
276.7959,262.1028
290.4788,269.5053
287.6282,277.7518
278.5063,279.1687
275.3706,286.2772
270.5245,294.8069
247.7195,319.538
266.2486,308.4563
271.9498,303.6245
294.7548,284.2974
298.1756,275.7669
305.8723,280.0375
303.3067,285.4399
288.1984,289.6975
280.2166,297.0877
279.3615,302.2067
288.1984,301.9273
287.0582,296.8072
297.6055,301.6482
311.0034,291.1325
308.1528,296.8192
310.4333,302.2244
307.5827,307.0578
286.203,282.8704
286.7731,309.0368
278.5063,311.8763
297.0352,315.2998
306.7275,307.0573
292.7593,307.3338
350.3421,250.7681
366.8757,250.4931
379.1334,246.5183
332.0981,294.8418
335.2338,313.8995
342.6454,307.0777
317.8449,321.5687
324.4014,316.1686
344.9259,312.1985
353.1927,311.3498
367.1608,308.5137
376.2828,313.354
347.7765,317.604
341.7902,319.5915
333.2383,325.8437
336.9441,329.5432
331.2429,330.962
350.057,332.6792
377.7081,333.8326
383.1243,340.946
393.1015,331.2816
350.057,347.4687
346.0661,352.3014
331.813,330.3935
360.8894,368.5215
365.4504,359.1385
376.5678,360.2825
379.4184,359.4308
362.5998,375.6329
364.8803,370.2303
383.4094,332.4138
269.0992,261.814
243.7286,241.6061
205.8153,212.5744
